;USAF;STATION NAME;LAT;LON;ELEV(M);BEGIN;END;REGION
0;200260;VIKTORIYA ISLAND;80.167;36.75;9.0;19591102;20020320;Архангельская обл.
1;200340;NAGURSKOYE;80.817;47.417;18.0;19550305;20030314;Архангельская обл.
2;200460;POLARGMO IM. E.T. KRENKELJA;80.617;58.05;22.0;19570703;20201118;Архангельская обл.
3;200470;BUKHTA YURIYA;80.317;52.8;6.0;19550305;19591218;Архангельская обл.
4;200490;TIKHAYA BAY;80.367;52.917;46.0;19320202;20040930;Архангельская обл.
5;200660;USHAKOVA ISLAND;80.833;79.7;47.0;19550305;20040118;Красноярский край
6;200690;OSTROV VIZE;79.483;76.983;10.0;19550305;20201118;Красноярский край
7;200850;OSTROV PIONEER;79.883;91.23299999999999;30.0;19591101;19591225;Красноярский край
8;200870;MGMS IM. G.F. USHAKOVA;79.55;90.56700000000001;8.0;19320101;20201118;Красноярский край
9;200970;CAPE PESCHANIY;79.383;102.417;6.0;19590901;20040925;Красноярский край
10;201460;ZALIV GULDA;79.917;58.917;-999.0;19620201;19621230;Архангельская обл.
11;201860;KRASNOFLOTSKIYE ISL;78.617;98.7;8.0;19550305;19871130;Красноярский край
12;201990;MALYY TAYMIR ISLAND;78.133;107.2;12.0;19550305;19940818;Красноярский край
13;202740;OSTROV UEDINENIJA;77.5;82.2;23.0;19350202;19961121;Красноярский край
14;202770;ISACHENKO ISLAND;77.283;89.667;5.0;19550305;19970330;Красноярский край
15;202890;RUSSKIY ISLAND;77.183;96.583;9.0;19550305;19960426;Красноярский край
16;202910;SOLNECHNAYA BAY;78.233;103.117;30.0;19550305;20050901;Красноярский край
17;202920;GMO IM.E.K. FEDOROVA;77.717;104.3;15.0;19330107;20201118;Красноярский край
18;202940;GEYBERGA ISLAND;77.617;101.48299999999999;6.0;19550305;19950731;Красноярский край
19;203530;MYS ZHELANIYA;76.95;68.55;8.0;19320103;20150130;Архангельская обл.
20;203570;RUSSKAYA GAVAN';76.183;63.567;9.0;19480101;20050403;Архангельская обл.
21;203860;OSTROV TYRTOVA;76.6;97.667;1.0;19550305;19601025;Красноярский край
22;203880;PRAVDY ISLAND;76.283;94.73299999999999;10.0;19550305;20031010;Красноярский край
23;203930;OSTROV FADDEYA;76.967;108.0;3.0;19550305;19581201;Красноярский край
24;204710;IZVESTIJ TSIK;75.95;82.95;11.9;19550130;20201118;Красноярский край
25;204760;MYS STERLEGOVA;75.417;88.9;11.0;19550305;20201118;Красноярский край
26;204810;OSTROV RYKACHEVA;75.867;92.833;7.0;19550305;19570630;Красноярский край
27;205780;OSTROV PESTSOVYY;74.25;86.5;2.0;19610311;19621028;Красноярский край
28;205940;LAKE TAJMYR;74.5;102.5;11.0;19550305;20050303;Красноярский край
29;206470;OSTROV GOLETS;73.05;53.1;29.0;19550305;19621210;Архангельская обл.
30;206490;MAMOCKIN SAR;73.267;56.4;43.0;19320102;19580916;Архангельская обл.
31;206650;VILKICKOGO ISLAND;73.5;76.0;4.0;19550305;20010222;Ямало-Ненецкий АО
32;206670;IM. M.V. POPOVA;73.333;70.05;7.0;19360101;20201118;Ямало-Ненецкий АО
33;206740;OSTROV DIKSON;73.5;80.4;47.0;19320101;20201118;Красноярский край
34;206750;MAKAROVA;73.683;85.25;15.0;19480104;20050802;Красноярский край
35;206790;TAREYA (STREAM);73.25;90.917;21.0;19550304;20020807;Красноярский край
36;206960;CAPE KASISTY;73.667;109.75;20.0;19550305;19910418;Красноярский край
37;207440;MALYE KARMAKULY;72.367;52.7;19.0;19480101;20201118;Архангельская обл.
38;207560;CAPE PAYNOTE;72.65;68.983;10.0;19900601;19910525;Ямало-Ненецкий АО
39;207640;DRONYANAYA;72.667;70.833;13.0;19550304;19630523;Ямало-Ненецкий АО
40;207660;LESKINO;72.333;79.5;10.0;19550305;20030130;Красноярский край
41;208560;CAPE KHARASOVOY;71.4;67.633;18.0;19550307;20021020;Ямало-Ненецкий АО
42;208620;MONGATALYANG;71.983;75.4;21.0;19810101;19991110;Ямало-Ненецкий АО
43;208640;TAMBEY;71.483;71.817;8.0;19570703;20010430;Ямало-Ненецкий АО
44;208710;SOPOCHNAYA KARGA;71.883;82.7;5.9;19550306;20201118;Красноярский край
45;208910;HATANGA;71.983;102.46700000000001;33.0;19370102;20201118;Красноярский край
46;209400;VAIGACH;70.4;58.8;11.0;19480101;19510805;Ненецкий АО
47;209430;CAPE MENSHIKOVA;70.717;57.617;14.0;19550305;19950307;Архангельская обл.
48;209460;IM E K FEDOROVA;70.45;59.083;12.2;19320101;20201118;Ненецкий АО
49;209630;GYDA;70.883;78.5;8.0;19480101;20051205;Ямало-Ненецкий АО
50;209640;TADIBE-YAKHA;70.35;74.133;4.0;19550306;19950627;Ямало-Ненецкий АО
51;209670;SEYAHA;70.167;72.517;17.8;19570702;20201118;Ямало-Ненецкий АО
52;209700;MUNGUY;70.433;83.75;3.0;19590902;19591031;Красноярский край
53;209730;KRESTI;70.85;89.883;29.0;19550306;20010430;Красноярский край
54;209780;KARAUL;70.083;83.167;28.7;19550305;20201118;Красноярский край
55;209820;VOLOCHANKA;70.967;94.5;40.0;19370101;20180105;Красноярский край
56;213010;ANDREYA ISLAND;76.8;110.833;6.0;19550306;19990618;Красноярский край
57;213580;ZOHOVA ISLAND;76.15;152.833;14.0;19550601;19960101;Саха (Якутия)
58;214050;B. PRONCHISHCHEVOY;75.533;113.51700000000001;6.0;19550305;20020111;Красноярский край
59;214320;OSTROV KOTEL'NYJ;76.0;137.86700000000002;8.0;19361231;20201118;Саха (Якутия)
60;214350;TEMPA BAY;75.75;137.583;10.0;19550305;19750731;Саха (Якутия)
61;215040;OSTROV PREOBRAZENIJ;74.667;112.93299999999999;57.0;19550305;20020224;Саха (Якутия)
62;215350;SANNIKOVA;74.667;138.9;14.6;19550305;20201118;Саха (Якутия)
63;215370;STOLBOVOY ISLAND;74.117;135.86700000000002;20.0;19810101;20020601;Саха (Якутия)
64;215410;ZEMLYA BUNGE;74.883;142.2;10.0;19550305;20031012;Саха (Якутия)
65;215430;NOVAYA SIBIR;74.95;147.86700000000005;24.0;19550305;19581231;Саха (Якутия)
66;216080;ANABAR;73.217;113.5;13.3;19880501;20201118;Саха (Якутия)
67;216110;CAPE TERPAY-TUMUS;73.567;118.75;10.0;19550326;20020618;Саха (Якутия)
68;216130;DUNWAY ISLAND;73.9;124.6;9.0;19550305;19941008;Саха (Якутия)
69;216270;ANTIPINSKIY;73.167;128.833;5.0;19611103;20050829;Саха (Якутия)
70;216360;KIGILYAH;73.336;139.86700000000002;24.7;19550305;20201118;Саха (Якутия)
71;216470;MYS SHALAUROVA;73.183;143.233;22.0;19340701;20030117;Саха (Якутия)
72;217010;URYUNG-KHAYA;72.817;113.26700000000001;25.0;19690623;20040130;Саха (Якутия)
73;217110;UST' OLENEK;73.0;119.867;14.9;19550305;20201118;Саха (Якутия)
74;217120;STANNAKH-KHOCHO;72.967;121.667;23.0;19810101;19940721;Саха (Якутия)
75;217150;TAJMYRLYR;72.6;121.85;22.0;19550305;20020904;Саха (Якутия)
76;217210;IM YU A HABAROVA;72.4;126.35;19.6;19550305;20201118;Саха (Якутия)
77;217270;TIT-ARY;71.917;127.01700000000001;20.0;19790701;19811225;Саха (Якутия)
78;217280;BYKOVSKI;71.933;129.083;7.0;19590802;19900131;Саха (Якутия)
79;217330;CAPE SVATOJ;72.75;140.75;6.0;19550305;19880215;Саха (Якутия)
80;217390;CAPE KURTAKH;72.167;139.5;8.0;19730701;19800523;Саха (Якутия)
81;217480;CHIKHACHEVA;72.3;146.817;8.0;19590901;19631023;Саха (Якутия)
82;217490;OZERO MOGOTOYEVO;72.233;149.083;23.0;19690202;19901225;Саха (Якутия)
83;218020;SASKYLAH;71.967;114.083;18.0;19570702;20201118;Саха (Якутия)
84;218130;TYUMYATI;71.917;123.56700000000001;26.6;19590101;20201118;Саха (Якутия)
85;218210;BYKOV (MYS);72.0;129.11700000000002;16.5;19830202;20201118;Саха (Якутия)
86;218230;YAKUTSK;62.093;129.77100000000002;99.1;19550305;20201118;Саха (Якутия)
87;218240;TIKSI;71.69800000000002;128.903;9.1;19331205;20201118;Саха (Якутия)
88;218241;POLYARNY;66.4;112.01700000000001;522.0;20040713;20081231;Саха (Якутия)
89;218250;MOSTAKH ISLAND;71.533;129.917;3.0;19361231;20060604;Саха (Якутия)
90;218260;OZERO KHARGY (LAKE);71.5;132.667;18.0;19811101;20050903;Саха (Якутия)
91;218340;KUOGASTAKH;71.383;135.167;12.0;19550315;20031014;Саха (Якутия)
92;218350;UEDEY;71.5;136.583;11.0;19690101;19940609;Саха (Якутия)
93;218490;RUSSKOYE UST'YE;71.017;149.0;6.0;19550305;20071010;Саха (Якутия)
94;218530;TABOR;71.267;150.2;3.0;19590901;19940609;Саха (Якутия)
95;219080;DZALINDA;70.133;113.96700000000001;62.0;19590101;20201118;Саха (Якутия)
96;219210;KJUSJUR;70.683;127.4;33.0;19480101;20201118;Саха (Якутия)
97;219230;KHAYYR;70.817;133.5;91.0;19810101;20030212;Саха (Якутия)
98;219310;JUBILEJNAJA;70.767;136.217;24.0;19480102;20201118;Саха (Якутия)
99;219320;UST YANSK;70.9;136.333;10.0;19550305;19570622;Саха (Якутия)
100;219370;KUJGA;70.033;135.667;92.2;20120829;20201118;Саха (Якутия)
101;219460;CHOKURDAH;70.617;147.88299999999995;61.0;19550305;20201118;Саха (Якутия)
102;219550;ALAZEJA RIVER;70.55;154.25;2.0;19550305;19940926;Саха (Якутия)
103;219650;OSTROV CHETYREHSTOLBOVOY;70.633;162.483;41.0;19350206;19950909;Саха (Якутия)
104;219780;VAL' KARKAY;70.083;170.933;5.8;19480101;20201118;Чукотский АО
105;219790;MORPORT;70.05;171.417;2.0;19550415;19570605;Чукотский АО
106;219800;WRANGEL;70.917;179.667;83.0;19570701;19631231;Чукотский АО
107;219820;OSTROV VRANGELYA;70.983;-178.65;4.0;19341101;20201118;Чукотский АО
108;219830;ZVEZDNYY;70.95;-179.6;30.0;19590901;20011103;Чукотский АО
109;220030;VAIDA GUBA (BAY);69.933;31.983;8.0;19590101;20201118;Мурманская обл.
110;220040;NIKEL;69.4;30.233;92.0;19530705;20201118;Мурманская обл.
111;220060;PECHENGA;69.55;31.116999999999997;31.0;19590101;20030704;Мурманская обл.
112;220070;HEVOSKOSKI;69.133;29.267;101.0;19540102;19541231;Мурманская обл.
113;220090;PEREVALYAUR;69.267;31.767;302.0;19590101;19980725;Мурманская обл.
114;220120;TSYP-NAVOLOK;69.733;33.1;11.0;19590101;20160604;Мурманская обл.
115;220140;BOLSHAYA-ZAPADNAYA;69.417;32.167;117.0;19590101;20000316;Мурманская обл.
116;220180;URA-GUBA (BAY);69.283;32.8;27.0;19530908;20050821;Мурманская обл.
117;220190;SEVEROMORSK;69.083;33.45;20.0;19320101;20010430;Мурманская обл.
118;220200;VOSTOCHNIY KILDIN ?;69.317;34.2;-999.0;19831004;20030808;Мурманская обл.
119;220280;TERIBERKA;69.2;35.117;30.0;19590101;20201118;Мурманская обл.
120;220370;DALNE-ZELENETSKAYA;69.117;36.067;42.0;19531001;19891217;Мурманская обл.
121;220950;KOLGUYEV ISLAND;69.083;49.25;24.0;19361231;20010429;Ненецкий АО
122;221000;VERKHOV'E R LOTTA;68.533;28.916999999999998;115.0;19600220;20201118;Мурманская обл.
123;221010;YANISKOSKI;68.967;28.783;101.0;19590101;20200924;Мурманская обл.
124;221050;NIVANKYUL;68.35;30.733;90.0;19590101;20160614;Мурманская обл.
125;221060;PADUN;68.6;31.8;63.0;19590101;20201118;Мурманская обл.
126;221120;KOLA;68.883;33.016999999999996;7.0;19590101;19840610;Мурманская обл.
127;221130;MURMANSK;68.782;32.751;81.1;19361231;20201118;Мурманская обл.
128;221140;LOPARSKAYA;68.633;33.2;112.0;19590101;20010430;Мурманская обл.
129;221190;PULOZERO;68.35;33.3;143.0;19590101;20011028;Мурманская обл.
130;221230;GOLITSINO;69.067;35.73300000000001;15.0;19730101;20040914;Мурманская обл.
131;221270;LOVOZERO;68.0;35.033;162.0;19471002;20201118;Мурманская обл.
132;221330;OSTROV HATLOV;68.817;37.333;64.0;19590101;20141112;Мурманская обл.
133;221400;SVYATOJ NOS;68.15;39.766999999999996;12.0;19590802;20171118;Мурманская обл.
134;221440;CHERNYY (CAPE);68.4;38.667;10.0;19860701;20020714;Мурманская обл.
135;221450;CAPE CHERNIY;68.367;38.65;10.0;19550101;19861008;Мурманская обл.
136;221490;KACHALOVKA;67.983;39.817;149.0;19320101;19891130;Мурманская обл.
137;221650;KANIN NOS;68.65;43.3;49.0;19460106;20201118;Ненецкий АО
138;221930;BUGRINO;68.783;49.3;7.0;19590101;20201118;Ненецкий АО
139;222040;KOVDOR;67.567;30.4;247.0;19590101;20010902;Мурманская обл.
140;222050;ENA;67.6;31.166999999999998;160.0;19590101;20051127;Мурманская обл.
141;222120;MONCHEGORSK;67.933;32.917;132.0;19590101;20201118;Мурманская обл.
142;222130;APATITY;67.55;33.35;134.0;19810101;20201118;Мурманская обл.
143;222140;ZASHEYEK;67.417;32.55;151.0;19730101;20020922;Мурманская обл.
144;222160;APATITY;67.567;33.367;136.0;19320101;20020322;Мурманская обл.
145;222170;KANDALAKSHA;67.15;32.35;25.0;19320101;20201118;Мурманская обл.
146;222190;KIROVSK;67.617;33.667;1093.0;19861001;19980101;Мурманская обл.
147;222270;KANOZERO (LAKE);67.117;34.083;584.0;19590101;19891120;Мурманская обл.
148;222320;KOLMYABR;67.7;37.117;244.0;19590101;20040925;Мурманская обл.
149;222350;KRASNOSCEL'E;67.35;37.05;156.0;19461101;20201118;Мурманская обл.
150;222490;KANEVKA;67.133;39.667;151.0;19550101;20201118;Мурманская обл.
151;222590;TERSKO-ORLOVSKAJA;67.217;41.333;72.0;19590101;20011008;Мурманская обл.
152;222690;MYS KONUSIN;67.15;43.9;13.0;19590101;20010728;Ненецкий АО
153;222710;SHOJNA;67.883;44.15;18.0;19590101;20201118;Ненецкий АО
154;222820;MYS MIKULKIN;67.8;46.667;6.0;19530216;20180228;Ненецкий АО
155;222920;INDIGA;67.683;48.683;4.0;19590101;20201118;Ненецкий АО
156;223010;ALAKURTTI;66.95;30.3;152.0;19600102;19960522;Мурманская обл.
157;223020;NYAM (LAKE);66.967;31.467;152.0;19810101;20010922;Мурманская обл.
158;223050;ZASHEEK;66.25;31.116999999999997;119.0;19630613;20200924;Карелия
159;223080;NIISKA;66.267;31.116999999999997;1.0;19590101;19610724;Карелия
160;223120;KOVDA;66.7;32.883;18.0;19460307;20201118;Мурманская обл.
161;223180;LOUHI;66.067;33.0;94.0;19590101;20030630;Карелия
162;223240;UMBA;66.683;34.35;40.0;19590101;20201118;Мурманская обл.
163;223330;SLYUDYANKA;66.717;38.0;150.0;19590101;20041003;Мурманская обл.
164;223340;KASHKARANTSY;66.333;36.016999999999996;3.5;19320101;20201118;Мурманская обл.
165;223390;CHAVANGA (STREAM);66.1;37.817;7.0;19590101;20011029;Мурманская обл.
166;223490;PJALICA;66.183;39.533;9.0;19370101;20201118;Мурманская обл.
167;223550;SOSNOVETS ISLAND;66.483;40.683;16.0;19590101;20010619;Мурманская обл.
168;223610;MORZHOVEC;66.717;42.483000000000004;16.2;19590102;20180228;Архангельская обл.
169;223650;ABRAMOVSKIJ MAJAK;66.383;43.25;21.0;19590101;20201118;Архангельская обл.
170;223750;NES';66.65;44.683;14.0;19590101;20020715;Ненецкий АО
171;223760;VIZHAS;66.633;45.9;12.0;19590101;19760105;Ненецкий АО
172;223830;NIZHNYAYA PESHA;66.73899999999999;47.72;11.5;19590101;20201118;Ненецкий АО
173;224030;KESTEN'GA;65.883;31.833000000000002;129.0;19590101;20010908;Карелия
174;224080;KALEVALA;65.217;31.166999999999998;120.0;19460901;20201118;Карелия
175;224130;ENGOZERO;65.783;33.933;80.0;19730103;20201118;Карелия
176;224160;PILDOZERO;65.667;33.483000000000004;79.9;19590101;19630209;Карелия
177;224180;PANOZERO (LAKE);64.967;32.917;91.0;19730103;20040617;Карелия
178;224220;GRIDINO;65.9;34.766999999999996;12.0;19460102;20070425;Карелия
179;224290;SOLOVKI;65.033;35.7;7.4;19590101;20201118;Архангельская обл.
180;224380;ZIZGIN;65.2;36.817;17.0;19550701;20201118;Архангельская обл.
181;224460;ZIMNEGORSKIJ MAJAK;65.467;39.733000000000004;77.0;19590101;20201118;Архангельская обл.
182;224520;INCY;65.967;40.717;5.0;19590101;20021213;Архангельская обл.
183;224560;KEPINO;65.383;41.883;68.6;19590101;20201118;Архангельская обл.
184;224710;MEZEN';65.867;44.217;19.0;19320101;20201118;Архангельская обл.
185;224810;MOSEEVO;65.767;46.2;42.2;19590101;20201118;Архангельская обл.
186;224990;BARKOVSKAJA;65.233;49.583;155.0;19590101;19930717;Архангельская обл.
187;225110;JUSKOZERO;64.75;32.117;97.0;19570703;19931019;Карелия
188;225180;RUGOZERO;64.083;32.783;159.0;19590101;20020608;Карелия
189;225200;KEM' PORT;64.983;34.8;8.0;20061121;20201118;Карелия
190;225220;KEM';64.95;34.65;8.0;19320101;20060628;Карелия
191;225250;RAZNAVOLOK;64.567;34.917;9.0;19480306;20201118;Карелия
192;225260;JUKOVO;64.367;35.667;4.0;19590101;19620517;Карелия
193;225290;KOLEZMA;64.233;35.883;3.0;19590101;20201118;Карелия
194;225350;LJAMCA;64.433;37.083;8.0;19590101;20030115;Архангельская обл.
195;225410;UNSKIJ MAJAK;64.833;38.4;5.0;19590101;20201118;Архангельская обл.
196;225460;SEVERODVINSK;64.55;39.766999999999996;7.9;19590101;20201118;Архангельская обл.
197;225500;TALAGI;64.6;40.717;18.9;19310104;20201118;Архангельская обл.
198;225510;MUD'JUG;64.85;40.283;3.0;19590101;20201118;Архангельская обл.
199;225550;VAS'KOVO;64.533;40.5;11.0;19630406;20030910;Архангельская обл.
200;225590;HOLMOGORY;64.217;41.667;12.0;19590101;20201118;Архангельская обл.
201;225630;PINEGA;64.7;43.383;31.0;19460102;20201118;Архангельская обл.
202;225730;LESUKONSKOE;64.9;45.766999999999996;71.0;19590101;20201118;Архангельская обл.
203;225830;KOJNAS;64.75;47.65;64.0;19320101;20201118;Архангельская обл.
204;226020;REBOLY;63.833;30.816999999999997;182.0;19460201;20201118;Карелия
205;226190;PADANY;63.266999999999996;33.417;128.0;19590101;20201118;Карелия
206;226210;SEGEZA;63.766999999999996;34.283;112.0;19460109;20201118;Карелия
207;226220;VORENZA;63.917;35.266999999999996;91.0;19590101;20050823;Карелия
208;226380;KALGACHIHA;63.333;36.717;182.9;19590101;20141231;Архангельская обл.
209;226410;ONEGA;63.9;38.117;13.0;19460307;20201118;Архангельская обл.
210;226480;TURCASOVO;63.117;39.233000000000004;34.0;19590101;20201118;Архангельская обл.
211;226510;KHOLMOGORSKAYA;63.8;40.667;85.0;19590101;20050726;Архангельская обл.
212;226560;EMECK;63.483000000000004;41.8;18.0;19590101;20201118;Архангельская обл.
213;226570;EMCA;63.067;40.35;108.0;19460101;19881008;Архангельская обл.
214;226710;KARPOGORY;64.017;44.45;65.1;19590101;20201118;Архангельская обл.
215;226760;SURA;63.583;45.633;62.0;19361231;20201118;Архангельская обл.
216;226860;VENDINGA;63.45;47.917;80.0;19590101;20201118;Коми
217;226950;KOSLAN;63.45;48.9;158.0;19590101;20201118;Коми
218;227070;VYARTSILYA;62.183;30.683000000000003;102.0;19010101;20010814;Карелия
219;227100;KUDAMGUBA;62.867;32.4;173.0;19630821;19910522;Карелия
220;227120;SOVDDVERO;62.717;33.25;167.0;19590101;19621219;Карелия
221;227170;SUOYARVI;62.1;32.383;156.0;19590101;20201118;Карелия
222;227210;MEDVEZEGORSK;62.917;34.433;81.0;19480101;20201118;Карелия
223;227230;DANILOVO;62.967;35.7;139.0;19590101;19951222;Карелия
224;227250;SHUNGA;62.6;34.95;48.0;19590101;19880614;Карелия
225;227270;KONDOPOGA;62.167;34.3;38.0;19590101;20201118;Карелия
226;227380;KUGONAVOLOK;62.233000000000004;36.883;147.0;19590101;20020920;Карелия
227;227490;KONEVO;62.133;39.3;101.3;19590101;20201118;Архангельская обл.
228;227620;DVINSKIJ BEREZNIK;62.817;42.783;34.0;19590101;20201118;Архангельская обл.
229;227680;SHENKURSK;62.1;42.9;45.0;19320101;20201118;Архангельская обл.
230;227780;VERHNJAJA TOJMA;62.233000000000004;45.016999999999996;58.0;19590101;20201118;Архангельская обл.
231;227810;OKULOVSKAYA;62.967;46.583;95.0;19590101;20021107;Архангельская обл.
232;227840;KERGA;62.65;46.033;130.0;19590101;19600520;Архангельская обл.
233;227930;LOPTYUGA;62.9;49.633;180.0;19590101;19941002;Коми
234;227980;JARENSK;62.167;49.117;92.0;19480101;20201118;Архангельская обл.
235;228020;SORTAVALA;61.717;30.717;19.0;19170101;20201118;Карелия
236;228050;VALAAM;61.367;30.88300000000001;16.0;19590101;20201118;Карелия
237;228060;MANTSINSARI ISLAND;61.333;31.6;24.0;19590101;20081205;Карелия
238;228070;PRIOZERSK;61.05;30.13300000000001;9.0;19590101;19901126;Ленинградская обл.
239;228090;ORITSEL KYA;61.283;31.63300000000001;1.0;19590101;19630331;Карелия
240;228140;PALALAKHTA;61.633;32.417;93.0;19590101;19891218;Карелия
241;228160;PRIAZA;61.683;33.617;133.0;19590101;19960902;Карелия
242;228170;VIDLITSA;61.183;32.433;13.0;19590101;20050727;Карелия
243;228200;PETROZAVODSK;61.817;34.266999999999996;110.0;19320101;20201118;Карелия
244;228230;KLIMENITSY;61.85;35.2;40.0;19590101;19940724;Карелия
245;228240;LADVA-VETKA;61.35;34.45;57.0;19590101;20050812;Карелия
246;228260;BESOV NOS (CAPE);61.667;36.067;43.0;19590101;19891111;Карелия
247;228290;VOSNESEN'E;61.016999999999996;35.48300000000001;41.0;19590101;20200924;Ленинградская обл.
248;228300;TEREBOVSKAYA;61.783;36.033;34.0;19590101;20030129;Карелия
249;228310;PUDOZ;61.8;36.583;44.0;19471002;20201118;Карелия
250;228330;KOLODOZERO;61.783;37.75;116.0;19590101;19960216;Карелия
251;228350;MIRONOVA;61.45;36.9;152.0;19730520;20051011;Вологодская обл.
252;228370;VYTEGRA;61.016999999999996;36.45;56.0;19320112;20201118;Вологодская обл.
253;228450;KARGOPOL';61.5;38.933;126.0;19590101;20201118;Архангельская обл.
254;228540;NJANDOMA;61.667;40.183;233.0;19361231;20201118;Архангельская обл.
255;228670;VEL'SK;61.083;42.067;91.0;19320101;20201118;Архангельская обл.
256;228690;SHANGALY;61.133;43.35;117.2;19590101;20201118;Архангельская обл.
257;228760;KRASNOBORSK;61.55;45.933;59.6;19590101;20201118;Архангельская обл.
258;228830;SLOBODICHIKOVO;61.75;48.25;88.0;19590101;19841007;Архангельская обл.
259;228870;KOTLAS;61.233000000000004;46.717;56.0;19480104;20201118;Архангельская обл.
260;228890;VILEGODSKOE;61.117;48.0;69.8;19900101;20201118;Архангельская обл.
261;228910;SOSNOVO;60.55;30.316999999999997;70.0;19590101;20200924;Ленинградская обл.
262;228911;LESOGORSKIY;61.033;28.933000000000003;39.0;20091128;20091128;Ленинградская обл.
263;228920;VYBORG;60.717;28.733;13.0;19060101;20201118;Ленинградская обл.
264;228940;BOLSHOY BOR;60.516999999999996;28.25;0.0;19590101;19631124;Ленинградская обл.
265;228960;ROSCINO;60.217;29.717;96.0;19590101;19940916;Санкт-Петербург
266;228971;SURSARI/GOGLAND ISL;60.067;27.0;6.0;20091128;20091128;Ленинградская обл.
267;229050;RANTA-KYULYA;60.567;30.666999999999998;6.0;19591018;19631009;Ленинградская обл.
268;229060;SOSNOVO;60.516999999999996;30.483;68.0;19600510;19901006;Ленинградская обл.
269;229070;TOKSOVO;60.15;30.517;115.0;19590911;20050115;Ленинградская обл.
270;229080;OSINOVETS;60.167;31.066999999999997;8.0;19590101;20020622;Ленинградская обл.
271;229120;OLONEC;60.983000000000004;32.983000000000004;12.0;19590101;20201118;Карелия
272;229130;LODEJNOE POLE;60.717;33.55;23.0;19590101;20201118;Ленинградская обл.
273;229140;STOROZHNO;60.516999999999996;32.633;8.0;19730103;19891109;Ленинградская обл.
274;229150;SVIRICA;60.467;32.9;8.0;19460308;19970511;Ленинградская обл.
275;229170;NOVAJA LADOGA;60.117;32.317;9.0;19590101;20201118;Ленинградская обл.
276;229250;VINNICY;60.633;34.783;111.0;19590101;20201118;Ленинградская обл.
277;229320;NOVO-PETROVSKOYE;60.833;37.083;145.0;19590101;19601224;Вологодская обл.
278;229390;BELOZERSK;60.016999999999996;37.75;131.0;19320101;20201118;Вологодская обл.
279;229440;CHAROZERO;60.467;38.65;158.0;19590101;19960404;Вологодская обл.
280;229510;KONOSHA;60.983000000000004;40.25;226.5;19590101;20201118;Архангельская обл.
281;229540;VOZEGA;60.467;40.2;202.0;19480101;20201118;Вологодская обл.
282;229740;NYUKSENITSA;60.417;44.217;136.5;19590101;20201118;Вологодская обл.
283;229810;VELIKIJ USTJUG;60.766999999999996;46.25;99.0;19320101;20201118;Вологодская обл.
284;229830;LAL' SK;60.7;47.6;84.1;20120328;20201118;Кировская обл.
285;229880;PODOSINOVETS;60.283;47.083;134.0;19590102;19631226;Кировская обл.
286;229960;OB'JACEVO;60.367;49.65;152.0;19590101;20201118;Коми
287;230200;JUGORSKI STRAIT;69.75;60.583;13.0;19810101;20020607;Ненецкий АО
288;230210;YUGORSKIY SHAR;69.817;60.75;13.0;19320101;19840816;Ненецкий АО
289;230220;AMADERMA;69.75;61.7;49.0;19480101;20201118;Ненецкий АО
290;230240;CAPE BELY;69.483;60.333;6.0;19590405;20050821;Ненецкий АО
291;230290;UST-KARA;69.25;64.983;4.0;19570712;20010430;Ненецкий АО
292;230320;MARESALE;69.717;66.8;25.0;19320101;20201118;Ямало-Ненецкий АО
293;230580;ANTIPAJUTA;69.083;76.85;3.0;19600211;20201118;Ямало-Ненецкий АО
294;230660;UST PORT /UST ENISEISK;69.65;84.4;27.1;19320101;19570629;Красноярский край
295;230740;DUDINKA;69.4;86.167;19.0;19480101;20141221;Красноярский край
296;230780;NORIL'SK;69.333;88.25;64.0;19751001;20201118;Красноярский край
297;231030;HODOVARIHA;68.933;53.766999999999996;11.0;19590101;20010429;Ненецкий АО
298;231040;SENGEJSKI STRAIT;68.483;51.25;5.0;19590101;20021213;Ненецкий АО
299;231050;TOBSEDA;68.6;52.333;6.0;19590101;20050202;Ненецкий АО
300;231090;NDSOVAJA;68.25;54.516999999999996;24.0;19590101;20010717;Ненецкий АО
301;231120;VARANDEY;68.8;57.983000000000004;6.6;19590102;20201118;Ненецкий АО
302;231140;MYS KONSTANTINOVSKIJ;68.533;55.5;6.7;19590101;20201118;Ненецкий АО
303;231210;KOROTAJIHA;68.85;61.183;10.0;19590102;19950723;Ненецкий АО
304;231460;CAPE KAMENNYJ;68.5;73.583;5.0;19550305;19940828;Ямало-Ненецкий АО
305;231740;POTAPOVO;68.667;86.25;41.0;19570830;20201118;Красноярский край
306;231790;SNEZHNOGORSK;68.1;87.76700000000002;93.8;19730101;20201118;Красноярский край
307;232050;NAR'JAN-MAR;67.633;53.033;12.0;19320101;20201118;Ненецкий АО
308;232070;KOTKINO;67.017;51.133;18.0;19590101;20050112;Ненецкий АО
309;232140;LAYATO (LAKE);67.567;56.133;137.0;19830701;19960330;Ненецкий АО
310;232150;HOREJ-VER;67.433;58.033;71.0;19590101;20080612;Ненецкий АО
311;232190;HOSEDA-HARD;67.033;59.4;83.0;19480101;20160417;Ненецкий АО
312;232200;ZELEZNODOROZNY;67.833;64.75;116.0;19590801;20050223;Коми
313;232201;SALEKHARD;66.59100000000001;66.611;66.4;20040706;20170615;Ямало-Ненецкий АО
314;232202;RADUZHNY;62.15;77.3;78.0;20040706;20041231;ХМАО – Югра
